"","x"
"1",13087.25
"2",7227
"3",6399
"4",63365.28
"5",26575.72
"6",33250
"7",265
"8",6903
"9",0
"10",2948
"11",101521.6
"12",104031.88
"13",700
"14",2842
"15",100
"16",48853.9
"17",1897.44
"18",6143
"19",2435
"20",1684
"21",996
"22",0
"23",0
"24",954
"25",3373
"26",240616.53
"27",7300
"28",22055
"29",172710.06
"30",36657
"31",4474
"32",2201
"33",9430
"34",38685
"35",0
"36",58243.19
"37",43806.9
"38",3210
"39",4940
"40",35734.54
"41",4134
"42",5710
"43",74895.31
"44",225
"45",4819
"46",55
"47",451.284482758621
"48",164.25
"49",164.076923076923
"50",551.002434782609
"51",421.836825396825
"52",11083.3333333333
"53",132.5
"54",767
"55",0
"56",737
"57",1166.91494252874
"58",4334.66166666667
"59",350
"60",473.666666666667
"61",100
"62",397.186178861789
"63",1897.44
"64",267.086956521739
"65",608.75
"66",210.5
"67",199.2
"68",0
"69",0
"70",477
"71",259.461538461538
"72",1782.34466666667
"73",347.619047619048
"74",501.25
"75",57570.02
"76",1221.9
"77",203.363636363636
"78",244.555555555556
"79",1886
"80",1842.14285714286
"81",0
"82",719.051728395062
"83",554.517721518987
"84",139.565217391304
"85",380
"86",626.921754385965
"87",344.5
"88",211.481481481481
"89",10699.33
"90",56.25
"91",229.47619047619
"92",27.5
"93",29
"94",44
"95",39
"96",115
"97",63
"98",3
"99",2
"100",9
"101",2
"102",4
"103",87
"104",24
"105",2
"106",6
"107",1
"108",123
"109",1
"110",23
"111",4
"112",8
"113",5
"114",1
"115",3
"116",2
"117",13
"118",135
"119",21
"120",44
"121",3
"122",30
"123",22
"124",9
"125",5
"126",21
"127",1
"128",81
"129",79
"130",23
"131",13
"132",57
"133",12
"134",27
"135",7
"136",4
"137",21
"138",2
